Level1,Level1_ID,Level1_Desc,Level2,Level2_ID,Level2_Desc,Level3,Level3_ID,Level3_Desc,Level4,Level4_ID,Level4_Desc,Score
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Digital Marketing,1.1.1,Online marketing efforts via digital channels.,Social Media Campaigns,1.1.1.1,Engaging with potential patients through social media platforms.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Digital Marketing,1.1.1,Online marketing efforts via digital channels.,Email Marketing,1.1.1.2,Sending promotional and informative emails to subscribers and patients.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Digital Marketing,1.1.1,Online marketing efforts via digital channels.,Search Engine Optimization (SEO),1.1.1.3,Improving website visibility in search engine results.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Digital Marketing,1.1.1,Online marketing efforts via digital channels.,Pay-Per-Click Advertising (PPC),1.1.1.4,Online advertising where fees are paid per ad click.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Traditional Marketing,1.1.2,Offline marketing efforts through traditional media channels.,Print Ads,1.1.2.1,Advertising in newspapers magazines and brochures.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Traditional Marketing,1.1.2,Offline marketing efforts through traditional media channels.,Direct Mail,1.1.2.2,Sending physical promotional materials to potential patients.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Traditional Marketing,1.1.2,Offline marketing efforts through traditional media channels.,Local Events and Sponsorships,1.1.2.3,Participating in or sponsoring community events.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Community Engagement,1.1.3,Building relationships within the community to increase practice visibility.,Educational Seminars,1.1.3.1,Hosting informational sessions on dental health topics.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Community Engagement,1.1.3,Building relationships within the community to increase practice visibility.,Health Fairs,1.1.3.2,Participating in community health events to provide information and screenings.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Marketing and Outreach,1.1,Strategies and tactics to promote the practice and reach potential patients.,Community Engagement,1.1.3,Building relationships within the community to increase practice visibility.,School Programs,1.1.3.3,Collaborating with schools to educate children on dental hygiene.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Referral Programs,1.2,Initiatives encouraging existing patients and professionals to refer others.,Patient Referral Incentives,1.2.1,Offering rewards to patients who refer new patients to the practice.,,,,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Referral Programs,1.2,Initiatives encouraging existing patients and professionals to refer others.,Professional Referrals,1.2.2,Establishing relationships with other healthcare providers for mutual referrals.,Partnerships with Healthcare Providers,1.2.2.1,Collaborations for exchanging patient referrals.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Referral Programs,1.2,Initiatives encouraging existing patients and professionals to refer others.,Online Review Management,1.2.3,Managing and encouraging patient reviews on online platforms.,Encouraging Patient Testimonials,1.2.3.1,Motivating satisfied patients to share positive experiences online.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Referral Programs,1.2,Initiatives encouraging existing patients and professionals to refer others.,Online Review Management,1.2.3,Managing and encouraging patient reviews on online platforms.,Responding to Online Feedback,1.2.3.2,Engaging with patient reviews and addressing concerns publicly.,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Branding and Reputation Management,1.3,Building and maintaining a strong brand and positive reputation.,Brand Identity Development,1.3.1,Creating a unique and consistent brand image and messaging.,,,,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Branding and Reputation Management,1.3,Building and maintaining a strong brand and positive reputation.,Reputation Monitoring,1.3.2,Tracking the practice's reputation across various platforms and media.,,,,0
Patient Acquisition,1,Activities focused on attracting new patients to the dental practice.,Branding and Reputation Management,1.3,Building and maintaining a strong brand and positive reputation.,Public Relations,1.3.3,Managing communications with the public and media.,,,,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Appointment Scheduling,2.1,Systems and procedures for booking patient appointments.,Initial Contact Management,2.1.1,Handling inquiries and appointment requests from new patients.,Phone Inquiries,2.1.1.1,Managing appointment requests received via telephone.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Appointment Scheduling,2.1,Systems and procedures for booking patient appointments.,Initial Contact Management,2.1.1,Handling inquiries and appointment requests from new patients.,Online Booking Requests,2.1.1.2,Managing appointment requests received through online platforms.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Appointment Scheduling,2.1,Systems and procedures for booking patient appointments.,Appointment Confirmation,2.1.2,Confirming scheduled appointments and sending reminders.,Automated Reminders,2.1.2.1,Sending automated messages to remind patients of upcoming appointments.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Appointment Scheduling,2.1,Systems and procedures for booking patient appointments.,Appointment Confirmation,2.1.2,Confirming scheduled appointments and sending reminders.,Rescheduling Options,2.1.2.2,Providing options for patients to reschedule appointments if needed.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Patient Registration,2.2,Collecting necessary information from new patients.,New Patient Forms,2.2.1,Forms for personal medical and dental history information.,Personal Information,2.2.1.1,Collecting contact and demographic details.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Patient Registration,2.2,Collecting necessary information from new patients.,New Patient Forms,2.2.1,Forms for personal medical and dental history information.,Medical and Dental History,2.2.1.2,Gathering past medical and dental information.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Patient Registration,2.2,Collecting necessary information from new patients.,Consent Forms and Documentation,2.2.2,Obtaining necessary consents and acknowledgments.,Treatment Consent,2.2.2.1,Securing patient consent for proposed treatments.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Patient Registration,2.2,Collecting necessary information from new patients.,Consent Forms and Documentation,2.2.2,Obtaining necessary consents and acknowledgments.,Privacy Policy Acknowledgment,2.2.2.2,Ensuring patients understand and agree to privacy practices.,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Insurance and Financial Setup,2.3,Establishing financial arrangements and verifying insurance coverage.,Insurance Verification,2.3.1,Confirming patient insurance details and coverage.,,,,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Insurance and Financial Setup,2.3,Establishing financial arrangements and verifying insurance coverage.,Financial Policy Explanation,2.3.2,Informing patients about payment policies and options.,,,,0
Patient Onboarding,2,Processes involved in welcoming and registering new patients.,Insurance and Financial Setup,2.3,Establishing financial arrangements and verifying insurance coverage.,Payment Options Discussion,2.3.3,Discussing available payment methods and financing options.,,,,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Diagnostic Services,3.1,Assessing patients' oral health to identify issues or conditions.,Oral Examinations,3.1.1,Performing comprehensive and periodic dental exams.,Comprehensive Exams,3.1.1.1,Thorough evaluations of oral health for new or returning patients.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Diagnostic Services,3.1,Assessing patients' oral health to identify issues or conditions.,Oral Examinations,3.1.1,Performing comprehensive and periodic dental exams.,Periodic Check-ups,3.1.1.2,Regular exams to monitor and maintain oral health.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Diagnostic Services,3.1,Assessing patients' oral health to identify issues or conditions.,Imaging and Radiography,3.1.2,Using imaging technologies to diagnose dental conditions.,X-rays,3.1.2.1,Traditional radiographic imaging to view teeth and bone structures.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Diagnostic Services,3.1,Assessing patients' oral health to identify issues or conditions.,Imaging and Radiography,3.1.2,Using imaging technologies to diagnose dental conditions.,3D Imaging,3.1.2.2,Advanced imaging techniques for detailed views.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Diagnostic Services,3.1,Assessing patients' oral health to identify issues or conditions.,Specialized Assessments,3.1.3,Additional diagnostic services for specific conditions.,Periodontal Evaluations,3.1.3.1,Assessing gum health and diagnosing periodontal disease.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Diagnostic Services,3.1,Assessing patients' oral health to identify issues or conditions.,Specialized Assessments,3.1.3,Additional diagnostic services for specific conditions.,Oral Cancer Screenings,3.1.3.2,Checking for signs of oral cancer or precancerous conditions.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Planning,3.2,Developing personalized treatment plans based on diagnostic findings.,Personalized Treatment Plans,3.2.1,Creating tailored plans to address each patient's unique dental needs.,,,,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Planning,3.2,Developing personalized treatment plans based on diagnostic findings.,Patient Consultation,3.2.2,Discussing treatment options and plans with patients.,Discussing Treatment Options,3.2.2.1,Explaining available treatments and procedures.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Planning,3.2,Developing personalized treatment plans based on diagnostic findings.,Patient Consultation,3.2.2,Discussing treatment options and plans with patients.,Answering Patient Questions,3.2.2.2,Addressing any concerns or inquiries patients may have.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Planning,3.2,Developing personalized treatment plans based on diagnostic findings.,Informed Consent,3.2.3,Ensuring patients understand and agree to proposed treatments.,Explaining Risks and Benefits,3.2.3.1,Providing detailed information about potential outcomes and risks.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Planning,3.2,Developing personalized treatment plans based on diagnostic findings.,Informed Consent,3.2.3,Ensuring patients understand and agree to proposed treatments.,Documenting Consent,3.2.3.2,Recording patient consent in compliance with regulations.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Preventive Procedures,3.3.1,Treatments aimed at preventing dental issues.,Cleanings,3.3.1.1,Professional dental cleanings to remove plaque and tartar.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Preventive Procedures,3.3.1,Treatments aimed at preventing dental issues.,Fluoride Treatments,3.3.1.2,Applying fluoride to strengthen tooth enamel.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Preventive Procedures,3.3.1,Treatments aimed at preventing dental issues.,Sealants,3.3.1.3,Applying protective coatings to prevent decay.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Restorative Procedures,3.3.2,Treatments to restore damaged or decayed teeth.,Fillings,3.3.2.1,Repairing cavities with dental fillings.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Restorative Procedures,3.3.2,Treatments to restore damaged or decayed teeth.,Crowns and Bridges,3.3.2.2,Restoring teeth with crowns or replacing missing teeth with bridges.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Specialized Treatments,3.3.3,Advanced dental procedures requiring specialized skills.,Endodontics (Root Canals),3.3.3.1,Treating infections inside the tooth pulp.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Specialized Treatments,3.3.3,Advanced dental procedures requiring specialized skills.,Periodontics (Gum Treatments),3.3.3.2,Treating gum disease and related conditions.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Specialized Treatments,3.3.3,Advanced dental procedures requiring specialized skills.,Orthodontics,3.3.3.3,Correcting teeth and jaw alignment issues.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Treatment Execution,3.3,Performing dental procedures and treatments.,Specialized Treatments,3.3.3,Advanced dental procedures requiring specialized skills.,Oral Surgery,3.3.3.4,Performing surgical procedures in the oral cavity.,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Emergency Care,3.4,Providing urgent dental care for emergencies.,Same-Day Appointments,3.4.1,Offering immediate appointments for urgent needs.,,,,0
Clinical Care Delivery,3,Providing dental treatments and services to patients.,Emergency Care,3.4,Providing urgent dental care for emergencies.,After-Hours Support,3.4.2,Providing assistance outside of regular business hours.,,,,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Communication Channels,4.1,Methods used to communicate with patients.,Patient Portal,4.1.1,Online platform for patients to access services and information.,Appointment Scheduling,4.1.1.1,Allowing patients to book appointments online.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Communication Channels,4.1,Methods used to communicate with patients.,Patient Portal,4.1.1,Online platform for patients to access services and information.,Access to Records,4.1.1.2,Providing patients with access to their dental records.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Communication Channels,4.1,Methods used to communicate with patients.,Direct Messaging,4.1.2,Sending personalized messages to patients.,Secure Emails,4.1.2.1,Sending confidential information securely via email.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Communication Channels,4.1,Methods used to communicate with patients.,Direct Messaging,4.1.2,Sending personalized messages to patients.,Text Notifications,4.1.2.2,Sending reminders and updates via SMS.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Educational Resources,4.2,Providing information to help patients maintain oral health.,In-Office Materials,4.2.1,Educational content available at the practice.,Brochures,4.2.1.1,Printed materials on dental topics.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Educational Resources,4.2,Providing information to help patients maintain oral health.,In-Office Materials,4.2.1,Educational content available at the practice.,Educational Videos,4.2.1.2,Visual aids explaining procedures and oral care.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Educational Resources,4.2,Providing information to help patients maintain oral health.,Online Content,4.2.2,Digital educational materials accessible online.,Blog Posts,4.2.2.1,Articles on dental health topics.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Educational Resources,4.2,Providing information to help patients maintain oral health.,Online Content,4.2.2,Digital educational materials accessible online.,FAQs,4.2.2.2,Answers to frequently asked questions.,0
Patient Engagement,4,Ongoing communication and interaction with patients.,Educational Resources,4.2,Providing information to help patients maintain oral health.,Personalized Education,4.2.3,Tailored information specific to individual patient needs.,Customized Home Care Instructions,4.2.3.1,Providing patients with specific guidance for at-home care.,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Recall and Reminder Systems,5.1,Tools to encourage patients to return for regular care.,Routine Check-up Reminders,5.1.1,Notifying patients when it's time for their next visit.,,,,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Recall and Reminder Systems,5.1,Tools to encourage patients to return for regular care.,Follow-up Appointment Scheduling,5.1.2,Booking subsequent appointments during visits.,,,,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Loyalty Programs,5.2,Initiatives to reward patient loyalty.,Membership Plans,5.2.1,Offering packages that include services at a discounted rate.,Preventive Care Packages,5.2.1.1,Bundled services for routine preventive care.,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Loyalty Programs,5.2,Initiatives to reward patient loyalty.,Membership Plans,5.2.1,Offering packages that include services at a discounted rate.,Discounts on Services,5.2.1.2,Providing price reductions on certain treatments.,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Loyalty Programs,5.2,Initiatives to reward patient loyalty.,Reward Programs,5.2.2,Incentivizing patients through points or rewards for actions taken.,Referral Bonuses,5.2.2.1,Rewards for referring new patients.,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Loyalty Programs,5.2,Initiatives to reward patient loyalty.,Reward Programs,5.2.2,Incentivizing patients through points or rewards for actions taken.,Treatment Discounts,5.2.2.2,Special offers on specific treatments.,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Patient Satisfaction Initiatives,5.3,Efforts to ensure patients are happy with their care.,Satisfaction Surveys,5.3.1,Collecting feedback on patient experiences.,,,,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Patient Satisfaction Initiatives,5.3,Efforts to ensure patients are happy with their care.,Feedback Follow-up,5.3.2,Addressing issues or concerns raised by patients.,,,,0
Patient Retention,5,Efforts to maintain ongoing relationships with patients.,Patient Satisfaction Initiatives,5.3,Efforts to ensure patients are happy with their care.,Service Recovery Efforts,5.3.3,Actions taken to resolve patient dissatisfaction.,,,,0
Financial Transactions,6,Managing billing payments and insurance matters.,Transparent Billing,6.1,Providing clear and detailed billing information to patients.,Treatment Cost Estimates,6.1.1,Offering upfront cost information for planned treatments.,,,,0
Financial Transactions,6,Managing billing payments and insurance matters.,Transparent Billing,6.1,Providing clear and detailed billing information to patients.,Detailed Invoices,6.1.2,Issuing comprehensive bills that itemize services rendered.,,,,0
Financial Transactions,6,Managing billing payments and insurance matters.,Payment Processing,6.2,Handling the receipt of payments from patients.,Multiple Payment Methods,6.2.1,Accepting various forms of payment.,Credit Cards,6.2.1.1,Accepting major credit cards for payment.,0
Financial Transactions,6,Managing billing payments and insurance matters.,Payment Processing,6.2,Handling the receipt of payments from patients.,Multiple Payment Methods,6.2.1,Accepting various forms of payment.,Checks,6.2.1.2,Accepting personal or cashier's checks.,0
Financial Transactions,6,Managing billing payments and insurance matters.,Payment Processing,6.2,Handling the receipt of payments from patients.,Multiple Payment Methods,6.2.1,Accepting various forms of payment.,Financing Options,6.2.1.3,Providing third-party financing solutions.,0
Financial Transactions,6,Managing billing payments and insurance matters.,Payment Processing,6.2,Handling the receipt of payments from patients.,Payment Plans,6.2.2,Arrangements allowing patients to pay over time.,Installment Agreements,6.2.2.1,Setting up scheduled payments for services.,0
Financial Transactions,6,Managing billing payments and insurance matters.,Payment Processing,6.2,Handling the receipt of payments from patients.,Payment Plans,6.2.2,Arrangements allowing patients to pay over time.,Third-Party Financing,6.2.2.2,Partnering with financing companies to offer credit options.,0
Financial Transactions,6,Managing billing payments and insurance matters.,Insurance Management,6.3,Assisting patients with insurance-related matters.,Claims Submission,6.3.1,Filing insurance claims on behalf of patients.,,,,0
Financial Transactions,6,Managing billing payments and insurance matters.,Insurance Management,6.3,Assisting patients with insurance-related matters.,Insurance Follow-up,6.3.2,Tracking claims and addressing issues with insurers.,,,,0
Financial Transactions,6,Managing billing payments and insurance matters.,Insurance Management,6.3,Assisting patients with insurance-related matters.,Explanation of Benefits Review,6.3.3,Helping patients understand insurance statements.,,,,0
Support Services,7,Additional services enhancing the patient experience.,Comfort and Amenities,7.1,Features aimed at making patients comfortable.,Comfortable Waiting Areas,7.1.1,Providing a pleasant environment while patients wait.,,,,0
Support Services,7,Additional services enhancing the patient experience.,Comfort and Amenities,7.1,Features aimed at making patients comfortable.,Beverages and Snacks,7.1.2,Offering complimentary refreshments.,,,,0
Support Services,7,Additional services enhancing the patient experience.,Comfort and Amenities,7.1,Features aimed at making patients comfortable.,Entertainment Options,7.1.3,Providing magazines TVs or Wi-Fi access.,Magazines,7.1.3.1,Offering reading materials in the waiting area.,0
Support Services,7,Additional services enhancing the patient experience.,Comfort and Amenities,7.1,Features aimed at making patients comfortable.,Entertainment Options,7.1.3,Providing magazines TVs or Wi-Fi access.,Televisions,7.1.3.2,Providing TVs for entertainment.,0
Support Services,7,Additional services enhancing the patient experience.,Comfort and Amenities,7.1,Features aimed at making patients comfortable.,Entertainment Options,7.1.3,Providing magazines TVs or Wi-Fi access.,Wi-Fi Access,7.1.3.3,Offering internet access to patients.,0
Support Services,7,Additional services enhancing the patient experience.,Special Accommodations,7.2,Services catering to specific patient needs.,Accessibility Features,7.2.1,Ensuring facilities are accessible to all patients.,Wheelchair Access,7.2.1.1,Providing ramps and accessible restrooms.,0
Support Services,7,Additional services enhancing the patient experience.,Special Accommodations,7.2,Services catering to specific patient needs.,Accessibility Features,7.2.1,Ensuring facilities are accessible to all patients.,Braille Signage,7.2.1.2,Offering signage for visually impaired patients.,0
Support Services,7,Additional services enhancing the patient experience.,Special Accommodations,7.2,Services catering to specific patient needs.,Sedation Dentistry,7.2.2,Offering sedation options for anxious patients.,,,,0
Support Services,7,Additional services enhancing the patient experience.,Special Accommodations,7.2,Services catering to specific patient needs.,Language Services,7.2.3,Providing assistance for non-English speaking patients.,Translation Services,7.2.3.1,Access to interpreters or multilingual staff.,0
Support Services,7,Additional services enhancing the patient experience.,Special Accommodations,7.2,Services catering to specific patient needs.,Language Services,7.2.3,Providing assistance for non-English speaking patients.,Multilingual Staff,7.2.3.2,Employing staff fluent in multiple languages.,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Feedback Collection,8.1,Gathering input from patients about their experiences.,Patient Surveys,8.1.1,Conducting surveys to assess satisfaction.,In-Person Surveys,8.1.1.1,Collecting feedback during visits.,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Feedback Collection,8.1,Gathering input from patients about their experiences.,Patient Surveys,8.1.1,Conducting surveys to assess satisfaction.,Online Surveys,8.1.1.2,Sending digital surveys post-visit.,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Feedback Collection,8.1,Gathering input from patients about their experiences.,Online Reviews,8.1.2,Monitoring patient reviews on public platforms.,Monitoring Platforms,8.1.2.1,Keeping track of reviews on sites like Yelp or Google.,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Feedback Collection,8.1,Gathering input from patients about their experiences.,Online Reviews,8.1.2,Monitoring patient reviews on public platforms.,Encouraging Feedback,8.1.2.2,Prompting patients to leave reviews.,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Data Analysis,8.2,Interpreting feedback data to identify areas for improvement.,Satisfaction Metrics,8.2.1,Measuring patient satisfaction levels.,,,,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Data Analysis,8.2,Interpreting feedback data to identify areas for improvement.,Trend Identification,8.2.2,Recognizing patterns in patient feedback.,,,,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Continuous Improvement,8.3,Implementing changes based on feedback.,Staff Training Based on Feedback,8.3.1,Educating staff to enhance patient experience.,,,,0
Feedback and Improvement,8,Collecting and acting on patient feedback to improve services.,Continuous Improvement,8.3,Implementing changes based on feedback.,Process Enhancements,8.3.2,Modifying procedures to improve efficiency and satisfaction.,,,,0
